studyid,lead_author,year,category,method,subgroup_num,subgroup_name,subgroup_sex,subgroup_age_low,subgroup_age_high,cluster_name,asthma,cancer,CKD,COPD,dementia,DM,epilepsy,gout,HF,HIV,HTN,IHD,MAD,MS,OA,OP,PD,RA,SCZ,stroke,risk_of_bias_overall,age_bin,age_bin_2
1,Prados-Torres,2012,factor-based,EFA,1,M 15-44,M,15,44,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,NA,0,0,Low Risk of Bias,0-39,0-39
1,Prados-Torres,2012,factor-based,EFA,1,M 15-44,M,15,44,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,1,0,Low Risk of Bias,0-39,0-39
1,Prados-Torres,2012,factor-based,EFA,2,M 45-64,M,45,64,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,NA,0,0,NA,0,0,Low Risk of Bias,40-59,40-59
1,Prados-Torres,2012,factor-based,EFA,3,M 65+,M,65,NA,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,NA,0,0,NA,0,0,Low Risk of Bias,60+,60+
1,Prados-Torres,2012,factor-based,EFA,3,M 65+,M,65,NA,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,1,1,NA,0,1,Low Risk of Bias,60+,60+
1,Prados-Torres,2012,factor-based,EFA,3,M 65+,M,65,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,NA,0,0,Low Risk of Bias,60+,60+
1,Prados-Torres,2012,factor-based,EFA,4,F 15-44,F,15,44,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,NA,0,0,Low Risk of Bias,0-39,0-39
1,Prados-Torres,2012,factor-based,EFA,5,F 45-64,F,45,64,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,NA,0,0,Low Risk of Bias,40-59,40-59
1,Prados-Torres,2012,factor-based,EFA,5,F 45-64,F,45,64,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,NA,0,0,Low Risk of Bias,40-59,40-59
1,Prados-Torres,2012,factor-based,EFA,5,F 45-64,F,45,64,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,0,0,Low Risk of Bias,40-59,40-59
1,Prados-Torres,2012,factor-based,EFA,6,F 65+,F,65,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,NA,0,0,Low Risk of Bias,60+,60+
1,Prados-Torres,2012,factor-based,EFA,6,F 65+,F,65,NA,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,0,0,NA,0,1,Low Risk of Bias,60+,60+
1,Prados-Torres,2012,factor-based,EFA,6,F 65+,F,65,NA,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,NA,0,0,NA,0,0,Low Risk of Bias,60+,60+
1,Prados-Torres,2012,factor-based,EFA,6,F 65+,F,65,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,0,0,Low Risk of Bias,60+,60+
2,Aubert,2019,factor-based,LCA,1,all,Both,18,NA,1,NA,0,0,0,NA,NA,1,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,1,High Risk of Bias,16+,"Adults
(16+)"
2,Aubert,2019,factor-based,LCA,1,all,Both,18,NA,2,NA,0,1,0,NA,NA,0,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,0,High Risk of Bias,16+,"Adults
(16+)"
2,Aubert,2019,factor-based,LCA,1,all,Both,18,NA,3,NA,1,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,High Risk of Bias,16+,"Adults
(16+)"
2,Aubert,2019,factor-based,LCA,1,all,Both,18,NA,4,NA,0,1,1,NA,NA,0,NA,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,0,High Risk of Bias,16+,"Adults
(16+)"
2,Aubert,2019,factor-based,LCA,1,all,Both,18,NA,5,NA,0,0,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,0,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,1_CHF,NA,0,0,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,10_OA,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,11_HTN,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
