studyid,lead_author,year,harmonized_disease_name,study_disease_name,notes
1,Prados-Torres,2012,asthma,Asthma,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,cancer,"Low impact malignant neoplasms; High impact malignant neoplasms; Malignant neoplasms, colorectal; Malignant neoplasms, lymphomas; Malignant neoplasms, bladder; Malignant neoplasms of the skin; Malignant neoplasms, stomach; Malignant neoplasms, prostate; Malignant neoplasms, breast; Malignant neoplasms, cervix, uterus; Malignant neoplasms, kidney; Malignant neoplasms, lung; Malignant neoplasms, pancreas; Malignant neoplasms, ovary; Malignant neoplasms, oesophagus; Malignant neoplasms, liver and biliary tract; Acute leukaemia",ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,chronic kidney disease,Chronic renal failure,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,COPD,"Emphysema, chronic bronchitis, COPD",ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,dementia incl. alzheimers,Dementia and delirium,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,diabetes mellitus,Diabetes,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,epilepsy,Seizure disorder,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,gout,Gout,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,heart failure,Congestive heart failure,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,HIV/AIDS,"HIV, AIDS",ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,hypertension,Hypertension,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,ischemic heart disease,Ischemic heart disease (excluding acute myocardial infarction); Acute myocardial infarction,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,mood and anxiety disorders,"Anxiety, neuroses; Depression",ACG EDCs (chronic diseases defiend from Salisbury list)
