x,y,name,n_dis,n_clusters,pct_dis,label,.ggraph.orig_index,circular,.ggraph.index
0.42,-0.2,asthma,111,1226,9.053833605,Asthma,1,FALSE,1
0.49,0.58,cancer,286,1226,23.3278956,Cancer,2,FALSE,2
-0.05,0.29,CKD,160,1226,13.05057096,Chronic kidney disease,3,FALSE,3
-0.4,0.27,COPD,155,1226,12.64274062,COPD,4,FALSE,4
0.22,-0.425,dementia,106,1226,8.646003263,Dementia,5,FALSE,5
-0.62,-0.2,DM,248,1226,20.22838499,Diabetes,6,FALSE,6
0.05,-0.21,epilepsy,66,1226,5.383360522,Epilepsy,7,FALSE,7
-0.42,0.47,HF,139,1226,11.33768352,Heart failure,8,FALSE,8
-0.88,0.1,HTN,369,1226,30.09787928,Hypertension,9,FALSE,9
0.63,-0.445,MAD,219,1226,17.862969,Mood & anxiety disorders,10,FALSE,10
0.38,-0.01,MS,23,1226,1.876019576,Multiple sclerosis,11,FALSE,11
0,-0.645,OA,122,1226,9.951060359,Osteoarthritis,12,FALSE,12
-0.22,-0.1,OP,79,1226,6.443719413,Osteoporosis,13,FALSE,13
-0.2,-0.395,PD,60,1226,4.893964111,Parkinson's disease,14,FALSE,14
0.15,0.08,RA,28,1226,2.283849918,Rheumatoid arthritis,15,FALSE,15
0.9,0.3,SCZ,34,1226,2.77324633,Schizophrenia,16,FALSE,16
-0.86,-0.2,gout,30,1226,2.446982055,Gout,17,FALSE,17
0.01,0.65,HIV,15,1226,1.223491028,HIV/AIDS,18,FALSE,18
-0.95,0.35,IHD,198,1226,16.15008157,Ischemic heart disease,19,FALSE,19
-0.68,0.2,stroke,149,1226,12.15334421,Stroke,20,FALSE,20
